name,type,cell_id,google_id,status,search,source,x,y,id
"""Adams Corner Café And Butcher""",Social Businesses,Cell 61,ChIJH7jDgYR744kROOOa9Fm1uC0,checked,cafe,googlapi,-71.055554,42.28306,1
[FoMu],Social Businesses,Cell 83,ChIJi1yMHW5544kRzXEObpdoVKU,checked,cafe,googlapi,-71.114235,42.314309,3
10 Josephine Street Garden,Parks,Cell 78,NA,new,NA,humancoding_fall,-71.0655684,42.3006327,4
10 Post Office Square,Parks,Cell 174,ChIJPwxvHYRw44kRIjhtlgjat6o,checked,square,googlapi,-71.05589,42.357184,5
21 Worcester Square,Parks,Cell 125,ChIJAUxASf5744kRi8graGAEgdE,checked,square,googlapi,-71.0746617,42.3365571,7
"29 Josephine Street Garden
",Parks,Cell 78,NA,new,NA,humancoding_fall,-71.0641164,42.3005093,8
8090书店,Social Businesses,Cell 162,ChIJc4RtRVR744kRNUXLAs1DGhc,checked,bookstore,googlapi,-71.059875,42.351692,11
ABCD Parker Hill,Community Spaces,Cell 107,NA,"new, visited",NA,humancoding_fall,-71.09722719,42.33123619,13
Action Center,Community Spaces,Cell 146,ChIJTVaJhIl644kRvcqbNFWtXsw,checked,community center,googlapi,-71.047225,42.336739,15
Adams Street Branch of the Boston Public Library,Community Spaces,Cell 70,ChIJd1-PlZx744kR0dxsWOI9HSE,checked,library,googlapi,-71.054475,42.286328,16
Adams-King Playground,Parks,Cell 70,ChIJJQIDxJh744kRiOhx1PjejOs,checked,park,googlapi,-71.056927,42.29349,17
Advantage Hair Salon,Social Businesses,Cell 174,NA,new,NA,humancoding_fall,-71.0542727,42.3548958,18
Alfond Memorial Spray Deck,Parks,Cell 173,NA,new,NA,humancoding_fall,-71.0700132,42.3652031,19
Allan Crite Community Garden,Parks,Cell 107,NA,"new, visited",NA,humancoding_fall,-71.0937031,42.3272325,20
Allen Park,Parks,Cell 87,ChIJyTOlQQd744kRIaSlSeFegZA,checked,park,googlapi,-71.06312,42.308142,22
Allerton Overlook,Parks,Cell 94,ChIJO0IWq55544kRbCk6p77I75E,checked,park,googlapi,-71.115648,42.328696,23
Alpine Street Park,Parks,Cell 96,NA,new,NA,humancoding_fall,-71.0867401,42.3249362,24
"Alrowda Mosque
",Places of Worship,Cell 86,NA,new,NA,humancoding_fall,-71.0797242,42.3124059,25
Alumni Medical Library,Community Spaces,Cell 126,ChIJwelwpmp644kRWMhGMO4KFyQ,checked,library,googlapi,-71.072408,42.336401,26
Alvah Kitridge Park,Parks,Cell 107,NA,"new, visited",NA,humancoding_fall,-71.09256819,42.32805436,27
Amaci Salon,Social Businesses,Cell 161,NA,new,NA,humancoding_fall,-71.0688721,42.3503364,28
Amalie's Fountain,Parks,Cell 174,ChIJVTRUyYdw44kRjKKc-75WROU,checked,fountain,googlapi,-71.052364,42.359915,29
Anchor Church Boston,Places of Worship,Cell 161,ChIJKX7WARd644kR3R7WqDrMEsU,checked,place of worship,googlapi,-71.07118,42.352045,31
Andrew Square House of Pizza,Social Businesses,Cell 127,ChIJOcPfOlx644kReb0LVj5nnMI,checked,square,googlapi,-71.056524,42.330011,32
Anna M. Cole Community Center,Community Spaces,Cell 95,ChIJ7zix5YB544kReC4NJulIRDs,checked,community center,googlapi,-71.099685,42.324527,34
Annunciation Greek Orthodox Cathedral of New England,Places of Worship,Cell 124,NA,"new, visited",NA,humancoding_fall,-71.0934349,42.3365756,35
Apostolic Church Ghana,Places of Worship,Cell 161,ChIJfxR0kmJX5okRGfiTHtKRJsI,checked,place of worship,googlapi,-71.0779238,42.3501676,36
Arcola Street Community Park,Parks,Cell 94,NA,new,NA,humancoding_fall,-71.1086333,42.3244642,40
"Arnold Arboretum - Bradley Rosaceous Collection
",Parks,Cell 65,NA,"new, visited",NA,humancoding_fall,-71.1191028,42.3020666,41
"Arnold Arboretum - Leventritt Vine and Shrub Garden
",Parks,Cell 65,NA,"new, visited",NA,humancoding_fall,-71.1239947,42.3040182,42
Arnold Arboretum of Harvard University,Parks,Cell 74,NA,"new, visited",NA,humancoding_fall,-71.1203853,42.307173,43
Ars Libri Ltd,Social Businesses,Cell 145,ChIJJb1XRW5644kRBqEDvlcEfRE,checked,bookstore,googlapi,-71.065805,42.342114,44
Asamblea Cristiana,Places of Worship,Cell 97,ChIJZR_Pakp644kRylMrCjFStqE,checked,place of worship,googlapi,-71.071944,42.32,45
Asian Community Development Corporation,Community Spaces,Cell 162,NA,new,NA,humancoding_fall,-71.06296,42.3484565,46
Audrey Jacobs Memorial Community Garden,Parks,Cell 78,NA,new,NA,humancoding_fall,-71.0736351,42.302125,47
Ausocia Plaza,Parks,Cell 174,NA,new,NA,humancoding_fall,-71.0523113,42.3620237,48
Awaken Christian Church,Places of Worship,Cell 88,ChIJEQ7yxwd744kRCNai7OIYNPY,checked,place of worship,googlapi,-71.047622,42.304126,49
Bagheera Fountain,Parks,Cell 161,ChIJCwmxinV644kR2NUq7CHrJac,checked,fountain,googlapi,-71.069122,42.354134,50
