name,type,cell_id,google_id,status,search,source,geometry,neighborhood,x,y,id
"""Adams Corner Café And Butcher""",Social Businesses,Cell 61,ChIJH7jDgYR744kROOOa9Fm1uC0,checked,cafe,google_api,"c(-71.055554, 42.28306)",Dorchester,-71.055554,42.28306,1
[FoMu],Social Businesses,Cell 83,ChIJi1yMHW5544kRzXEObpdoVKU,checked,cafe,google_api,"c(-71.114235, 42.314309)",Jamaica Plain,-71.114235,42.314309,3
10 Josephine Street Garden,Parks,Cell 78,NA,new,NA,humancoding_fall,"c(-71.0655684, 42.3006327)",Dorchester,-71.0655684,42.3006327,4
10 Post Office Square,Parks,Cell 174,ChIJPwxvHYRw44kRIjhtlgjat6o,checked,square,google_api,"c(-71.05589, 42.357184)",Downtown,-71.05589,42.357184,5
21 Worcester Square,Parks,Cell 125,ChIJAUxASf5744kRi8graGAEgdE,checked,square,google_api,"c(-71.0746617, 42.3365571)",South End,-71.0746617,42.3365571,8
"29 Josephine Street Garden
",Parks,Cell 78,NA,new,NA,humancoding_fall,"c(-71.0641164, 42.3005093)",Dorchester,-71.0641164,42.3005093,9
8090书店,Social Businesses,Cell 162,ChIJc4RtRVR744kRNUXLAs1DGhc,checked,bookstore,google_api,"c(-71.059875, 42.351692)",Chinatown,-71.059875,42.351692,12
ABCD Parker Hill,Community Spaces,Cell 107,NA,"new, visited",NA,humancoding_fall,"c(-71.09722719, 42.33123619)",Mission Hill,-71.09722719,42.33123619,14
Action Center,Community Spaces,Cell 146,ChIJTVaJhIl644kRvcqbNFWtXsw,checked,community center,google_api,"c(-71.047225, 42.336739)",South Boston,-71.047225,42.336739,17
Adams Park,Parks,Cell 44,ChIJh8eIksx-44kR5ymBUPIa55c,checked,park,google_api,"c(-71.12844, 42.286534)",Roslindale,-71.12844,42.286534,18
Adams Street Branch of the Boston Public Library,Community Spaces,Cell 70,ChIJd1-PlZx744kR0dxsWOI9HSE,checked,library,google_api,"c(-71.054475, 42.286328)",Dorchester,-71.054475,42.286328,19
Adams-King Playground,Parks,Cell 70,ChIJJQIDxJh744kRiOhx1PjejOs,checked,park,google_api,"c(-71.056927, 42.29349)",Dorchester,-71.056927,42.29349,20
Adath-Jeshurun Cemetery Associates,Places of Worship,Cell 15,NA,new,NA,humancoding_fall,"c(-71.1558686, 42.2593589)",West Roxbury,-71.1558686,42.2593589,21
Advantage Hair Salon,Social Businesses,Cell 174,NA,new,NA,humancoding_fall,"c(-71.0542727, 42.3548958)",Downtown,-71.0542727,42.3548958,22
Afrimerican Academy,Community Spaces,Cell 34,NA,new,NA,humancoding_fall,"c(-71.1204583, 42.2725222)",Roslindale,-71.1204583,42.2725222,24
Al Festa Little League Field,Parks,Cell 207,NA,new,NA,humancoding_fall,"c(-71.0198105, 42.3805875)",East Boston,-71.0198105,42.3805875,25
Alanna Nails,Social Businesses,Cell 47,NA,new,NA,humancoding_fall,"c(-71.0936964, 42.2777533)",Mattapan,-71.0936964,42.2777533,26
Alex's babershop salon,Social Businesses,Cell 217,NA,new,NA,humancoding_fall,"c(-71.0153511, 42.3839272)",East Boston,-71.0153511,42.3839272,27
Alexander the Great Park,Parks,Cell 44,ChIJ6c3tEc1-44kRB0r9c0LmgvU,checked,park,google_api,"c(-71.131055, 42.286932)",Roslindale,-71.131055,42.286932,28
Alexandra Beauty Spa,Social Businesses,Cell 44,NA,new,NA,humancoding_fall,"c(-71.1290473, 42.2863557)",Roslindale,-71.1290473,42.2863557,29
Alfond Memorial Spray Deck,Parks,Cell 173,NA,new,NA,humancoding_fall,"c(-71.0700132, 42.3652031)",West End,-71.0700132,42.3652031,30
Alfred L. Bertulli Park,Parks,Cell 195,ChIJ8wq72w9x44kRXPuY48DohI4,checked,park,google_api,"c(-71.039467, 42.374891)",East Boston,-71.039467,42.374891,31
Allan Crite Community Garden,Parks,Cell 107,NA,"new, visited",NA,humancoding_fall,"c(-71.0937031, 42.3272325)",Roxbury,-71.0937031,42.3272325,33
Allandale Woods,Parks,Cell 54,ChIJawGgPi9544kRAz4DL1lYPLA,checked,park,google_api,"c(-71.138559, 42.297975)",West Roxbury,-71.138559,42.297975,35
Allen Park,Parks,Cell 87,ChIJyTOlQQd744kRIaSlSeFegZA,checked,park,google_api,"c(-71.06312, 42.308142)",Dorchester,-71.06312,42.308142,36
Allston Brighton Islamic Center,Places of Worship,Cell 139,NA,new,NA,humancoding_fall,"c(-71.1378989, 42.3541631)",Allston,-71.1378989,42.3541631,37
Allston Congregational Church,Places of Worship,Cell 140,NA,new,NA,humancoding_fall,"c(-71.1344473, 42.351721)",Allston,-71.1344473,42.351721,38
Allston Hispanic Seventh-Day Adventist Church,Places of Worship,Cell 158,NA,new,NA,humancoding_fall,"c(-71.1292658, 42.3605197)",Allston,-71.1292658,42.3605197,39
Alpine Street Park,Parks,Cell 96,NA,new,NA,humancoding_fall,"c(-71.0867401, 42.3249362)",Roxbury,-71.0867401,42.3249362,40
"Alrowda Mosque
",Places of Worship,Cell 86,NA,new,NA,humancoding_fall,"c(-71.0797242, 42.3124059)",Dorchester,-71.0797242,42.3124059,41
Alumni Medical Library,Community Spaces,Cell 126,ChIJwelwpmp644kRWMhGMO4KFyQ,checked,library,google_api,"c(-71.072408, 42.336401)",South End,-71.072408,42.336401,42
Alvah Kitridge Park,Parks,Cell 107,NA,"new, visited",NA,humancoding_fall,"c(-71.09256819, 42.32805436)",Roxbury,-71.09256819,42.32805436,43
Amaci Salon,Social Businesses,Cell 161,NA,new,NA,humancoding_fall,"c(-71.0688721, 42.3503364)",Bay Village,-71.0688721,42.3503364,44
Amalie's Fountain,Parks,Cell 174,ChIJVTRUyYdw44kRjKKc-75WROU,checked,fountain,google_api,"c(-71.052364, 42.359915)",Downtown,-71.052364,42.359915,45
Amatucci Playground,Parks,Cell 10,NA,new,NA,humancoding_fall,"c(-71.1264233, 42.2488595)",Hyde Park,-71.1264233,42.2488595,46
American Buddhist Shim Gum Do Association,Places of Worship,Cell 104,NA,new,NA,humancoding_fall,"c(-71.1553058, 42.3411201)",Brighton,-71.1553058,42.3411201,47
American Legion Playground,Parks,Cell 206,ChIJhaJdtktw44kR9jT4MbAfH1U,checked,park,google_api,"c(-71.0295, 42.381942)",East Boston,-71.0295,42.381942,49
Americano Espresso Bar,Social Businesses,Cell 195,NA,new,NA,humancoding_fall,"c(-71.0389213, 42.3738342)",East Boston,-71.0389213,42.3738342,50
Anchor Church Boston,Places of Worship,Cell 161,ChIJKX7WARd644kR3R7WqDrMEsU,checked,place of worship,google_api,"c(-71.07118, 42.352045)",Back Bay,-71.07118,42.352045,51
Andalus Pizza & Cafe,Social Businesses,Cell 105,ChIJP9fsHE1444kRIkFw6_jdW5s,checked,cafe,google_api,"c(-71.146934, 42.341075)",Brighton,-71.146934,42.341075,52
Andrew Square House of Pizza,Social Businesses,Cell 127,ChIJOcPfOlx644kReb0LVj5nnMI,checked,square,google_api,"c(-71.056524, 42.330011)",South Boston,-71.056524,42.330011,53
Angela's Cafe Eagle Hill,Social Businesses,Cell 206,NA,new,NA,humancoding_fall,"c(-71.0349651, 42.3785257)",East Boston,-71.0349651,42.3785257,55
Anna M. Cole Community Center,Community Spaces,Cell 95,ChIJ7zix5YB544kReC4NJulIRDs,checked,community center,google_api,"c(-71.099685, 42.324527)",Jamaica Plain,-71.099685,42.324527,56
Anna's Cafe,Social Businesses,Cell 193,NA,new,NA,humancoding_fall,"c(-71.0615942, 42.3812643)",Charlestown,-71.0615942,42.3812643,57
Anna's Hand Cut Donuts Inc,Social Businesses,Cell 31,NA,new,NA,humancoding_fall,"c(-71.1581274, 42.2800781)",West Roxbury,-71.1581274,42.2800781,58
